Rank,Name,Country
1077.0,Hangzhou Normal University,China
1078.0,Indian Institute of Technology Mandi,India
1079.0,BRAC University,Bangladesh
1080.0,"Dr D. Y. Patil Vidyapeeth, Pune",India
1081.0,University of Northern British Columbia (UNBC),Canada
1082.0,Nippon Medical School,Japan
1083.0,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil
1084.0,Atatürk University,Turkey
1085.0,Birla Institute of Technology,India
1086.0,The New School,United States
1087.0,European University of Madrid,Spain
1088.0,University of Patras,Greece
1089.0,Ming Chi University of Technology,Taiwan
1090.0,University of Szeged,Hungary
1091.0,Florida Agricultural and Mechanical University,United States
1092.0,"University of Technology, Iraq",Iraq
1093.0,Bangladesh Agricultural University (BAU),Bangladesh
1094.0,Ateneo de Manila University,Philippines
1095.0,Minia University,Egypt
1096.0,University of Colombo,Sri Lanka
1097.0,Institute of Space Technology,Pakistan
1098.0,Fayoum University,Egypt
1099.0,University of la Costa,Colombia
1100.0,University of the Aegean,Greece
1101.0,Suez University,Egypt
1102.0,Al-Zaytoonah University of Jordan,Jordan
1103.0,Jadavpur University,India
1104.0,University of Lagos,Nigeria
1105.0,Université de Poitiers,France
1106.0,University of Gloucestershire,United Kingdom
1107.0,University of East London,United Kingdom
1108.0,University of Deusto,Spain
1109.0,University of the Free State,South Africa
1110.0,Siberian Federal University,Russian Federation
1111.0,University of Hradec Králové,Czech Republic
1112.0,Anadolu University,Turkey
1113.0,Galgotias University,India
1114.0,Moscow Technical University of Communications and Informatics,Russian Federation
1115.0,University of South Bohemia in České Budějovice,Czech Republic
1116.0,"Adam Mickiewicz University, Poznań",Poland
1116.0,Public University of Navarre,Spain
1118.0,University of West London,United Kingdom
1119.0,Azarbaijan Shahid Madani University,Iran
1120.0,Chungbuk National University,South Korea
1121.0,Zhejiang University of Finance and Economics,China
1122.0,Ain Shams University,Egypt
1123.0,Financial University under the Government of the Russian Federation,Russian Federation
1124.0,Datta Meghe Institute of Higher Education & Research (Deemed to be University),India
1125.0,DIT University,India
1126.0,National Central University,Taiwan
1127.0,Universiti Tunku Abdul Rahman (UTAR),Malaysia
1128.0,Bowling Green State University,United States
1129.0,Beni-Suef University,Egypt
1130.0,Landmark University,Nigeria
1131.0,Benha University,Egypt
1132.0,University of Bucharest,Romania
1133.0,Kanazawa University,Japan
1134.0,University of Kragujevac,Serbia
1135.0,University of Sulaimani,Iraq
1136.0,Hamamatsu University School of Medicine,Japan
1137.0,Gdańsk University of Technology,Poland
1138.0,Austral University,Argentina
1139.0,Yarmouk University,Jordan
1140.0,Hakim Sabzevari University,Iran
1141.0,Sahand University of Technology,Iran
1142.0,Inönü University,Turkey
1143.0,Government College University Lahore,Pakistan
1144.0,Shahrood University of Technology,Iran
1145.0,Chittagong University of Engineering & Technology,Bangladesh
1146.0,University of Sargodha,Pakistan
1147.0,Tanta University,Egypt
1148.0,Oakland University,United States
1149.0,University of Ghana,Ghana
1150.0,Northwest University (China),China
1151.0,Democritus University of Thrace,Greece
1152.0,Brno University of Technology,Czech Republic
1153.0,Riga Technical University,Latvia
1154.0,Medical University of Gdańsk,Poland
1155.0,Dr B.R. Ambedkar National Institute of Technology Jalandhar,India
1156.0,University of Almería,Spain
1157.0,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania
1158.0,University of Isfahan,Iran
1159.0,University of Bergamo,Italy
1160.0,Taibah University,Saudi Arabia
1161.0,South Dakota State University,United States
1162.0,Université d’Orléans,France
1163.0,Al-Balqa Applied University,Jordan
1164.0,National University of Computer and Emerging Sciences,Pakistan
1165.0,Universidad Peruana Cayetano Heredia,Peru
1166.0,Selçuk University,Turkey
1167.0,"University of Education, Lahore",Pakistan
1168.0,Medical University of Bialystok,Poland
1169.0,AGH University of Krakow,Poland
1170.0,Huaqiao University,China
1171.0,Yaşar University,Turkey
1172.0,Rowan University,United States
1173.0,Maharishi Markandeshwar University (MMU),India
1174.0,Ahmadu Bello University,Nigeria
1175.0,University of Sfax,Tunisia
1176.0,Zewail City of Science and Technology,Egypt
1177.0,Hungarian University of Agriculture and Life Sciences,Hungary
1178.0,Semnan University,Iran
1179.0,Suez Canal University,Egypt
1180.0,"University of Occupational and Environmental Health, Japan",Japan
1181.0,Czech Technical University in Prague,Czech Republic
1182.0,Al-Baha University,Saudi Arabia
1183.0,Technological University Dublin,Ireland
1183.0,SRM Institute of Science and Technology,India
1185.0,Icesi University,Colombia
1186.0,Urmia University of Technology,Iran
1187.0,University of South Dakota,United States
1188.0,Medical University of Warsaw,Poland
1189.0,Jeju National University,South Korea
1190.0,İstinye University,Turkey
1191.0,Multimedia University,Malaysia
1192.0,National University of Uzbekistan named after Mirzo Ulugbek,Uzbekistan
1193.0,The Hashemite University,Jordan
1194.0,University of Žilina,Slovakia
1195.0,Cardiff Metropolitan University,United Kingdom
1196.0,Istanbul University-Cerrahpaşa,Turkey
1197.0,National Chung Hsing University,Taiwan
1198.0,University of Jeddah,Saudi Arabia
1199.0,Khon Kaen University,Thailand
1200.0,University of Technology of Compiègne,France
1201.0,Medical University of Sofia,Bulgaria
1202.0,Necmettin Erbakan University,Turkey
1203.0,Sharda University,India
1204.0,Karunya Institute of Technology and Sciences,India
1205.0,Texas State University,United States
1206.0,Indian Institute of Science Education and Research Kolkata,India
1207.0,Gauhati University,India
1208.0,The University of Notre Dame Australia,Australia
1209.0,Nova Southeastern University,United States
1210.0,Saudi Electronic University,Saudi Arabia
1211.0,Lebanese University,Lebanon
1212.0,University of Mauritius,Mauritius
1213.0,"Arab Academy for Science, Technology and Maritime Transport",Egypt
1214.0,Canterbury Christ Church University,United Kingdom
1215.0,Yazd University,Iran
1216.0,Shahid Chamran University of Ahvaz,Iran
1216.0,Halmstad University,Sweden
1218.0,Kaunas University of Technology,Lithuania
1219.0,Federal University of São Carlos,Brazil
1220.0,"Indian Institute of Science Education and Research, Pune",India
1221.0,University of Zagreb,Croatia
1222.0,University of Medicine and Pharmacy of Craiova,Romania
1223.0,University of Urbino Carlo Bo,Italy
1224.0,Comenius University in Bratislava,Slovakia
1225.0,Akdeniz University,Turkey
1226.0,Western Michigan University,United States
1227.0,Miguel Hernández University of Elche,Spain
1228.0,University of Duhok,Iraq
1229.0,Zhejiang Sci-Tech University,China
1230.0,University of Thessaly,Greece
1231.0,University of Franche-Comté,France
1232.0,Universiti Malaysia Sarawak (UNIMAS),Malaysia
1233.0,University of Maragheh,Iran
1234.0,Hitotsubashi University,Japan
1235.0,Kwame Nkrumah University of Science and Technology,Ghana
1236.0,Kharazmi University,Iran
1237.0,University of Trás-os-Montes and Alto Douro,Portugal
1238.0,Manipal University Jaipur,India
1239.0,Niigata University,Japan
1240.0,Soonchunhyang University,South Korea
1241.0,University of Sadat City,Egypt
1242.0,Poznan University of Medical Sciences,Poland
1243.0,University of León,Spain
1244.0,Cochin University of Science and Technology,India
1245.0,Kansai Medical University,Japan
1246.0,University of Engineering & Technology (UET) Lahore,Pakistan
1247.0,St Francis Xavier University,Canada
1248.0,Bharathidasan University,India
1249.0,University of Nebraska Omaha,United States
1250.0,University of A Coruña,Spain
1251.0,Pondicherry University,India
1252.0,Walailak University,Thailand
1253.0,Kuwait University,Kuwait
1254.0,"University of Chemistry and Technology, Prague",Czech Republic
1255.0,Ho Chi Minh City Open University,Vietnam
1256.0,King Mongkut's University of Technology North Bangkok,Thailand
1257.0,Aichi Medical University,Japan
1258.0,Hyogo Medical University,Japan
1259.0,Seoul National University of Science and Technology (SeoulTech),South Korea
1260.0,Nicolaus Copernicus University in Toruń,Poland
1261.0,Chung Yuan Christian University,Taiwan
1262.0,University of Staffordshire,United Kingdom
1263.0,University of Ioannina,Greece
1264.0,Kohat University of Science and Technology,Pakistan
1265.0,Hallym University,South Korea
1266.0,Shahrekord University,Iran
1267.0,University of Cadiz,Spain
1268.0,Nagoya City University,Japan
1269.0,National Textile University,Pakistan
1270.0,University of Botswana,Botswana
1271.0,Silesian University of Technology,Poland
1272.0,National Chengchi University,Taiwan
1273.0,German Jordanian University,Jordan
1274.0,Sefako Makgatho Health Sciences University,South Africa
1275.0,Firat University,Turkey
1276.0,University of Malaga,Spain
1277.0,Xiangtan University,China
1278.0,Babeş-Bolyai University,Romania
1279.0,Mae Fah Luang University,Thailand
1280.0,Salahaddin University–Erbil,Iraq
1281.0,Gifu University,Japan
1282.0,"Mehran University of Engineering and Technology, Jamshoro, Pakistan",Pakistan
1283.0,University of Monastir,Tunisia
1284.0,Menoufia University,Egypt
1285.0,Immanuel Kant Baltic Federal University,Russian Federation
1286.0,University of Winchester,United Kingdom
1287.0,Bu-Ali Sina University,Iran
1288.0,University of Rouen Normandie,France
1289.0,University of Guilan,Iran
1290.0,"The University of Agriculture, Peshawar",Pakistan
1291.0,Ilam University,Iran
1292.0,University of South Africa,South Africa
1293.0,Diego Portales University,Chile
1294.0,University of Azad Jammu and Kashmir,Pakistan
1295.0,"Vietnam National University, Hanoi",Vietnam
1296.0,Universidad San Francisco de Quito,Ecuador
1297.0,University of Tarapacá,Chile
1298.0,Assiut University,Egypt
1299.0,University of Las Palmas de Gran Canaria,Spain
1300.0,Veltech University,India
1301.0,Bayero University,Nigeria
1302.0,South Valley University (Egypt),Egypt
1303.0,The University of Electro-Communications,Japan
1304.0,Universitas Gadjah Mada,Indonesia
1305.0,University of Social Welfare and Rehabilitation Sciences,Iran
1306.0,University of Wrocław,Poland
1307.0,Tomas Bata University in Zlín,Czech Republic
1308.0,Lorestan University,Iran
1309.0,University of Applied Sciences and Arts of Western Switzerland,Switzerland
1310.0,USAMV Cluj-Napoca,Romania
1311.0,Razi University,Iran
1312.0,The Jikei University School of Medicine,Japan
1313.0,Port Said University,Egypt
1314.0,Universidad del Desarrollo,Chile
1315.0,Université Djillali Liabès de Sidi Bel-Abbès,Algeria
1316.0,Gebze Technical University,Turkey
1317.0,VSB - Technical University of Ostrava,Czech Republic
1318.0,Fu Jen Catholic University,Taiwan
1319.0,Kurume University,Japan
1320.0,University of Angers,France
1321.0,An-Najah National University,Palestine
1322.0,National Institute of Technology Delhi,India
1323.0,Université Polytechnique Hauts-de-France,France
1324.0,Rajshahi University of Engineering and Technology,Bangladesh
1325.0,SWPS University,Poland
1326.0,Universitas Airlangga,Indonesia
1327.0,University of South Wales,United Kingdom
1328.0,University Rey Juan Carlos,Spain
1329.0,Jimma University,Ethiopia
1330.0,Kindai University,Japan
1331.0,Osaka Metropolitan University,Japan
1332.0,Technical University of Cartagena,Spain
1333.0,National Institute of Technology Warangal,India
1334.0,University of Manouba,Tunisia
1335.0,Showa University,Japan
1336.0,Guru Jambheshwar University of Science and Technology,India
1337.0,Duzce University,Turkey
1338.0,Osmania University,India
1339.0,Changzhou University,China
1340.0,Tokushima University,Japan
1341.0,University of Northampton,United Kingdom
1342.0,Woosong University,South Korea
1343.0,University of Valladolid,Spain
1344.0,Pontifícia Universidade Católica do Paraná,Brazil
1345.0,Universitas Muhammadiyah Surakarta,Indonesia
1346.0,University of Peradeniya,Sri Lanka
1347.0,Universidade Eduardo Mondlane,Mozambique
1348.0,University of Burgos,Spain
1349.0,Kangwon National University,South Korea
1350.0,University of Maribor,Slovenia
1351.0,Nagasaki University,Japan
1352.0,Budapest University of Technology and Economics,Hungary
1352.0,Ibn Tofaïl University,Morocco
1354.0,Universidade Federal do Paraná (UFPR),Brazil
1355.0,Sohag University,Egypt
1356.0,Sathyabama Institute of Science and Technology,India
1357.0,Shahid Bahonar University of Kerman,Iran
1358.0,Botswana International University of Science and Technology (BIUST),Botswana
1359.0,Xuzhou Medical University,China
1360.0,Ege University,Turkey
1361.0,"National Institute of Applied Sciences, Strasbourg (INSA Strasbourg)",France
1362.0,Toyohashi University of Technology (TUT),Japan
1363.0,Qom University of Medical Sciences,Iran
1364.0,"Visvesvaraya National Institute of Technology, Nagpur",India
1365.0,University of Technology of Troyes,France
1366.0,Ilia State University,Georgia
1367.0,Erciyes University,Turkey
1368.0,The John Paul II Catholic University of Lublin,Poland
1369.0,University of Concepción,Chile
1370.0,Federal University of Technology Akure,Nigeria
1371.0,Adolfo Ibáñez University,Chile
1372.0,"Vels Institute of Science, Technology and Advanced Studies (VISTAS)",India
1373.0,Mutah University,Jordan
1374.0,BINUS University,Indonesia
1375.0,Poznań University of Life Sciences,Poland
1376.0,University of Split,Croatia
1377.0,Gyeongsang National University,South Korea
1378.0,Damanhour University,Egypt
1379.0,Mohammed V University of Rabat,Morocco
1380.0,Makerere University,Uganda
1381.0,Shiga University of Medical Science,Japan
1382.0,Moscow Aviation Institute,Russian Federation
1383.0,West University of Timişoara,Romania
1384.0,University of Shanghai for Science and Technology,China
1385.0,Mendel University in Brno,Czech Republic
1386.0,University of Mazandaran,Iran
1387.0,University of Chittagong,Bangladesh
1388.0,University of Évora,Portugal
1389.0,University of La Serena,Chile
1390.0,Istanbul University,Turkey
1391.0,Universidad de Cartagena,Colombia
1392.0,Universitas Sebelas Maret,Indonesia
1393.0,Wuhan Textile University,China
1394.0,TOBB University of Economics and Technology,Turkey
1395.0,Transilvania University of Brașov,Romania
1396.0,National Taiwan Ocean University,Taiwan
1397.0,Prince of Songkla University,Thailand
1398.0,Medical University of Silesia in Katowice,Poland
1399.0,Chaoyang University of Technology,Taiwan
1400.0,Maejo University,Thailand
1401.0,Pukyong National University,South Korea
1402.0,Manav Rachna International Institute of Research and Studies,India
1403.0,Guru Ghasidas Vishwavidyalaya,India
1404.0,Tokai University,Japan
1405.0,National University of Distance Education (UNED),Spain
1406.0,National Institute of Technology Srinagar,India
1407.0,Kyushu Institute of Technology (Kyutech),Japan
1408.0,Université Saint-Joseph de Beyrouth,Lebanon
1409.0,Istanbul Medeniyet University,Turkey
1410.0,Shinshu University,Japan
1411.0,Pavol Jozef Šafárik University in Košice,Slovakia
1412.0,University of Puerto Rico,Puerto Rico
1413.0,Mirpur University of Science and Technology,Pakistan
1414.0,Sidi Mohamed Ben Abdellah University,Morocco
1415.0,University of La Rochelle,France
1416.0,American International University – Bangladesh,Bangladesh
1417.0,Tokyo University of Science,Japan
1418.0,Universidad Loyola,Spain
1419.0,University of the Philippines,Philippines
1420.0,Sapporo Medical University,Japan
1421.0,Persian Gulf University,Iran
1422.0,Federal University of Santa Maria,Brazil
1423.0,University of West Bohemia,Czech Republic
1424.0,Ariel University,Israel
1425.0,Chosun University,South Korea
1426.0,Thammasat University,Thailand
1427.0,University of Benin,Nigeria
1428.0,Al-Farabi Kazakh National University,Kazakhstan
1429.0,Medical University of Lublin,Poland
1430.0,Warsaw University of Technology,Poland
1431.0,National Kaohsiung University of Science and Technology,Taiwan
1432.0,Saitama Medical University,Japan
1433.0,Universiti Tun Hussein Onn Malaysia (UTHM),Malaysia
1434.0,Paris Nanterre University,France
1435.0,Gazi University,Turkey
1436.0,Tunghai University,Taiwan
1437.0,University of Nigeria Nsukka,Nigeria
1438.0,Wrocław University of Science and Technology,Poland
1439.0,Incheon National University,South Korea
1440.0,University of Toyama,Japan
1441.0,Nagaoka University of Technology,Japan
1442.0,University of Antioquia,Colombia
1443.0,University of Sunderland,United Kingdom
1444.0,Vilnius Gediminas Technical University (Vilnius Tech),Lithuania
1445.0,Tokyo University of Marine Science and Technology,Japan
1446.0,Ştefan cel Mare University of Suceava,Romania
1447.0,Yokohama National University,Japan
1448.0,Universidad Católica San Antonio de Murcia (UCAM),Spain
1449.0,I-Shou University,Taiwan
1450.0,Tokyo Metropolitan University,Japan
1451.0,Durban University of Technology,South Africa
1452.0,Federal University of Uberlândia,Brazil
1453.0,Yasouj University,Iran
1454.0,"University of Health Sciences, Turkey",Turkey
1455.0,University of Texas Rio Grande Valley,United States
1456.0,Indian Institute of Science Education and Research Bhopal,India
1457.0,University of Antofagasta,Chile
1458.0,The British University in Egypt,Egypt
1459.0,National Chung Cheng University,Taiwan
1460.0,"Amity University, Gurugram",India
1461.0,Universidad Autónoma de Chile,Chile
1462.0,University of Brasília,Brazil
1463.0,Universidade Federal do ABC (UFABC),Brazil
1464.0,Federal University of Lavras,Brazil
1465.0,Soongsil University,South Korea
1466.0,Technical University of Crete,Greece
1467.0,Helwan University,Egypt
1468.0,Shahid Sadoughi University of Medical Sciences,Iran
1469.0,Plekhanov Russian University of Economics,Russian Federation
1470.0,Jiangsu Normal University,China
1471.0,University of Ilorin,Nigeria
1472.0,Yamagata University,Japan
1473.0,Tzu Chi University,Taiwan
1474.0,Al-Hussein Bin Talal University,Jordan
1475.0,Far Eastern Federal University,Russian Federation
1476.0,University of Macedonia,Greece
1477.0,Lodz University of Technology,Poland
1478.0,Kagawa University,Japan
1479.0,Poznan University of Technology,Poland
1480.0,Hosei University,Japan
1481.0,Opole University of Technology,Poland
1482.0,Pirogov Russian National Research Medical University,Russian Federation
1483.0,Autonomous University of Sinaloa,Mexico
1484.0,University of Gdańsk,Poland
1485.0,University of Worcester,United Kingdom
1486.0,Kookmin University,South Korea
1487.0,Warsaw University of Life Sciences – SGGW,Poland
1488.0,University of Pannonia,Hungary
1489.0,The University of the West Indies,Jamaica
1490.0,Bandung Institute of Technology (ITB),Indonesia
1491.0,Vytautas Magnus University,Lithuania
1492.0,Unisinos University,Brazil
1493.0,Nile University,Egypt
1494.0,"Federal University of Technology, Minna",Nigeria
1495.0,Suranaree University of Technology,Thailand
1496.0,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan
1497.0,Hindustan Institute of Technology and Science,India
1498.0,Nagoya Institute of Technology,Japan
1499.0,University of Anbar,Iraq
1500.0,Khulna University,Bangladesh
1501.0,Sri Venkateswara University,India
1502.0,College of Charleston,United States
1503.0,Polytechnic Institute of Porto,Portugal
1504.0,Rikkyo University,Japan
1505.0,Sakarya University,Turkey
1506.0,Süleyman Demirel University,Turkey
1507.0,Del Rosario University,Colombia
1508.0,Lublin University of Technology,Poland
1509.0,Vinayaka Mission’s Research Foundation,India
1510.0,Dankook University,South Korea
1511.0,Moulay Ismail University,Morocco
1512.0,Universidad Francisco de Vitoria,Spain
1513.0,Universidade do Estado do Rio de Janeiro (UERJ),Brazil
1514.0,Kitasato University,Japan
1515.0,Slovak University of Agriculture in Nitra,Slovakia
1516.0,Southwest Petroleum University,China
1517.0,University of Lethbridge,Canada
1518.0,Instituto Politécnico de Viana do Castelo,Portugal
1519.0,Karabük University,Turkey
1520.0,Riga Stradiņš University,Latvia
1521.0,Allameh Tabataba ’i University,Iran
1522.0,Universitas Padjadjaran,Indonesia
1523.0,Loyola Marymount University,United States
1524.0,Hormozgan University of Medical Sciences,Iran
1524.0,Georgia Southern University,United States
1526.0,Yanshan University,China
1527.0,B. S. Abdur Rahman Crescent Institute of Science and Technology,India
1528.0,Toho University,Japan
1529.0,Tezpur University,India
1530.0,Istanbul Bilgi University,Turkey
1530.0,National Chin-Yi University of Technology,Taiwan
1532.0,National Dong Hwa University,Taiwan
1533.0,Federal University of Pernambuco,Brazil
1534.0,Chung Shan Medical University,Taiwan
1535.0,University of Talca,Chile
1536.0,Shiv Nadar University,India
1537.0,University of Warmia and Mazury in Olsztyn,Poland
1538.0,Université Hassan II de Casablanca,Morocco
1539.0,University of Hormozgan,Iran
1540.0,University of Chester,United Kingdom
1541.0,University of Marrakech Cadi Ayyad,Morocco
1542.0,Osaka Medical and Pharmaceutical University,Japan
1543.0,Acharya Nagarjuna University,India
1544.0,Universiti Malaysia Perlis,Malaysia
1545.0,IPB University,Indonesia
1546.0,Hellenic Open University,Greece
1547.0,University of Carthage,Tunisia
1548.0,UNIR – International University of La Rioja,Spain
1549.0,Tamkang University,Taiwan
1550.0,Universidade Lusófona,Portugal
1551.0,University of Al-Qadisiyah,Iraq
1552.0,University of Havana,Cuba
1553.0,Diponegoro University,Indonesia
1554.0,Ehime University,Japan
1555.0,Pontifical Catholic University of Valparaíso,Chile
1556.0,"University of the Andes, Chile",Chile
1557.0,University of Santo Tomas,Philippines
1558.0,Wrocław University of Environmental and Life Sciences,Poland
1559.0,Kastamonu University,Turkey
1560.0,University of Qom,Iran
1561.0,"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania
1562.0,Tribhuvan University,Nepal
1563.0,Universidade Federal do Ceará (UFC),Brazil
1564.0,University of Sousse,Tunisia
1565.0,University of Lucknow,India
1566.0,University for Development Studies,Ghana
1567.0,Institut Teknologi Sepuluh Nopember,Indonesia
1568.0,University of Colima,Mexico
1569.0,Dokuz Eylül University,Turkey
1570.0,University of Szczecin,Poland
1571.0,Karpagam Academy of Higher Education,India
1572.0,REVA University,India
1573.0,Université Sorbonne Nouvelle,France
1574.0,Christ University,India
1575.0,Pontifical Catholic University of Peru,Peru
1576.0,Morgan State University,United States
1577.0,Pace University-New York,United States
1578.0,Gunma University,Japan
1578.0,University of Rijeka,Croatia
1580.0,Universiti Teknologi MARA,Malaysia
1581.0,Ritsumeikan University,Japan
1582.0,National University of Colombia,Colombia
1583.0,Telkom University,Indonesia
1584.0,Karadeniz Technical University,Turkey
1585.0,Université de Skikda,Algeria
1586.0,Istanbul Medipol University,Turkey
1587.0,Université Mohammed Premier,Morocco
1588.0,University of Pau and Pays de l’Adour,France
1589.0,Yamaguchi University,Japan
1590.0,University of Fort Hare,South Africa
1591.0,Technical University of Cluj-Napoca,Romania
1592.0,Nitte (Deemed to be University),India
1593.0,Mie University,Japan
1594.0,Slovak University of Technology in Bratislava,Slovakia
1595.0,University of Zimbabwe,Zimbabwe
1596.0,Technical University of Liberec,Czech Republic
